2024-07-05 20:11:06,697 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.06666666666666667 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7201133370399475, var = 0.0012565276119858027 || Train Acc: avg = 0.722800076007843, var = 0.0015796138904988766
2024-07-06 03:36:56,725 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.25 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7790066599845886, var = 0.0002740892523434013 || Train Acc: avg = 0.7834199666976929, var = 0.00018858689873013645
2024-07-06 04:17:31,021 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.3333333333333333 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.7857033610343933, var = 7.434016151819378e-05 || Train Acc: avg = 0.7903800010681152, var = 9.731178579386324e-05
2024-07-06 04:58:08,777 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 0.5 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8040733337402344, var = 0.00029663497116416693 || Train Acc: avg = 0.8087800145149231, var = 0.0002730469568632543
2024-07-06 05:38:40,649 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 1 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8125, var = 0.00046095033758319914 || Train Acc: avg = 0.8199199438095093, var = 0.0005424268310889602
2024-07-06 06:19:10,336 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 1.0 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8060866594314575, var = 0.0006339809042401612 || Train Acc: avg = 0.8114800453186035, var = 0.0006537766894325614
2024-07-06 06:59:40,638 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 2 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8008533716201782, var = 0.0003647679404821247 || Train Acc: avg = 0.8056599497795105, var = 0.00045131234219297767
2024-07-06 07:40:05,993 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 3 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8131133317947388, var = 0.00020741397747769952 || Train Acc: avg = 0.8163000345230103, var = 0.00032462470699101686
2024-07-06 08:20:34,380 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 4 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8096200227737427, var = 0.00025198032381013036 || Train Acc: avg = 0.8150799870491028, var = 0.0003021666198037565
2024-07-06 09:01:04,766 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 5 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8187899589538574, var = 0.00011346219980623573 || Train Acc: avg = 0.8222000002861023, var = 0.00010945997200906277
2024-07-06 09:41:37,230 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 6 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8375133275985718, var = 9.404856245964766e-05 || Train Acc: avg = 0.8397200703620911, var = 0.00010218720854027197
2024-07-06 10:22:07,813 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 7 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8416999578475952, var = 2.6312703994335607e-05 || Train Acc: avg = 0.8481000661849976, var = 2.1494939574040473e-05
2024-07-06 11:02:36,045 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 8 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8447866439819336, var = 1.9782148228841834e-05 || Train Acc: avg = 0.8495599627494812, var = 1.757809877744876e-05
2024-07-06 11:43:05,597 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 9 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8519765734672546, var = 7.64325523050502e-05 || Train Acc: avg = 0.8575800061225891, var = 9.165698429569602e-05
2024-07-06 12:23:32,811 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 10 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8555933833122253, var = 6.0206839407328516e-05 || Train Acc: avg = 0.8613799810409546, var = 7.785183697706088e-05
2024-07-06 13:04:01,755 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 11 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8592132329940796, var = 1.4896739230607636e-05 || Train Acc: avg = 0.8636599779129028, var = 2.0013085304526612e-05
2024-07-06 13:44:30,093 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 12 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8594033122062683, var = 5.144279566593468e-05 || Train Acc: avg = 0.8660600781440735, var = 7.423809438478202e-05
2024-07-06 14:24:57,287 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 13 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8611999750137329, var = 8.66422396939015e-06 || Train Acc: avg = 0.8680999875068665, var = 5.67992447031429e-06
2024-07-06 15:05:24,448 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 14 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8655632734298706, var = 1.2221591532579623e-05 || Train Acc: avg = 0.8721599578857422, var = 1.2952994438819587e-05
2024-07-06 15:45:52,573 || INFO       || 83   || <module>        || Epoch: 5 || Lambda: 15 || Dataset: 'MNIST' || Inhibition: Relu || Learning Rule: Orthogonal || Function Type: Linear || Experiment Type: Base || Test Acc: avg = 0.8649466633796692, var = 1.4437619029195048e-05 || Train Acc: avg = 0.8711000680923462, var = 1.9505117961671203e-05
